"base_asset_id","alias_text","alias_type","requires_crypto_context","alias_source"
"JUP","JUP","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"K","K","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"KAITO","KAITO","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"KAR","KAR","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"KAS","KAS","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"KAVA","KAVA","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"KERNEL","KERNEL","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"KEY","KEY","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"KILT","KILT","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"KIN","KIN","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"KINT","KINT","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"KMNO","KMNO","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"KNC","KNC","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"KOBAN","KOBAN","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"KP3R","KP3R","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"KSM","KSM","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"L3","L3","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"LAYER","LAYER","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"LCX","LCX","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"LDO","LDO","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"LINK","Chainlink","manual_core_name","False","AF003_APPROVED_ALIAS"
"LINK","LINK","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"LIT","LIT","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"LMWR","LMWR","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"LOCKIN","LOCKIN","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"LOFI","LOFI","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"LPT","LPT","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"LQTY","LQTY","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"LRC","LRC","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"LSETH","LSETH","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"LSK","LSK","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"LUNA","LUNA","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"LUNA2","LUNA2","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"MANA","MANA","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"MASK","MASK","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"MAT","MAT","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"MC","MC","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"ME","ME","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"MELANIA","MELANIA","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"MEME","MEME","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"METH","METH","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"METIS","METIS","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
