"base_asset_id","network_id","token_address","token_role","endpoint_type","http_status","response_sha256","response_bytes","parse_status","resource_id","returned_address","returned_name","returned_symbol","coingecko_coin_id","identity_status","request_url","source_url","seed_basis","error_message"
"XREP","eth","0x1985365e9f78359a9b6ad760e32412f4a445e862","Q2_XREP_REPV1","token_info","200","4f4e4643532fc6c6ce8340311077e661f84aba7fb99d1419ad4da28440c68983","919","PASS","eth_0x1985365e9f78359a9b6ad760e32412f4a445e862","0x1985365e9f78359a9b6ad760e32412f4a445e862","Reputation","REP","","UNVERIFIED_EMPTY_COINGECKO_ID","https://api.geckoterminal.com/api/v2/networks/eth/tokens/0x1985365e9f78359a9b6ad760e32412f4a445e862/info","https://github.com/AugurProject/V2Migration/blob/master/V2Deployment.md","Augur v2 migration documentation identifies 0x1985.. as the current REP token to migrate to REPv2; CFA Q2 Kraken evidence separately identifies XREP/REP",""
"XREP","eth","0x1985365e9f78359a9b6ad760e32412f4a445e862","Q2_XREP_REPV1","token_data","200","a583a671dc3b8239b91b93d031199f82e6b8156490d6430709fbf9c9a9aa3127","801","PASS","eth_0x1985365e9f78359a9b6ad760e32412f4a445e862","0x1985365e9f78359a9b6ad760e32412f4a445e862","Reputation","REP","","UNVERIFIED_EMPTY_COINGECKO_ID","https://api.geckoterminal.com/api/v2/networks/eth/tokens/0x1985365e9f78359a9b6ad760e32412f4a445e862","https://github.com/AugurProject/V2Migration/blob/master/V2Deployment.md","Augur v2 migration documentation identifies 0x1985.. as the current REP token to migrate to REPv2; CFA Q2 Kraken evidence separately identifies XREP/REP",""
"REPV2","eth","0x221657776846890989a759ba2973e427dff5c9bb","Q2_REPV2","token_info","200","05671e0eb9cd2f63103228e8d5d1ac98dcca28a7f6d8499fd934d3e6b86374ae","2075","PASS","eth_0x221657776846890989a759ba2973e427dff5c9bb","0x221657776846890989a759ba2973e427dff5c9bb","Reputation","REPv2","augur","PASS_EXPLICIT_COINGECKO_ID","https://api.geckoterminal.com/api/v2/networks/eth/tokens/0x221657776846890989a759ba2973e427dff5c9bb/info","https://etherscan.io/token/0x221657776846890989a759ba2973e427dff5c9bb","CFA direct CoinGecko evidence maps REPV2 to stable id augur with this Ethereum contract; used as the distinct-version control",""
"REPV2","eth","0x221657776846890989a759ba2973e427dff5c9bb","Q2_REPV2","token_data","200","0a93431ba3766980119509ed909475b4a7174541a073ab7a3ed4dcda90b9969d","839","PASS","eth_0x221657776846890989a759ba2973e427dff5c9bb","0x221657776846890989a759ba2973e427dff5c9bb","Reputation","REPv2","augur","PASS_EXPLICIT_COINGECKO_ID","https://api.geckoterminal.com/api/v2/networks/eth/tokens/0x221657776846890989a759ba2973e427dff5c9bb","https://etherscan.io/token/0x221657776846890989a759ba2973e427dff5c9bb","CFA direct CoinGecko evidence maps REPV2 to stable id augur with this Ethereum contract; used as the distinct-version control",""
