"archive_file","row_ordinal","observed_field_count","reject_reason"
"20250405060000.gkg.csv.zip","557","1","RAW_FIELD_COUNT_NOT_27"
"20250410191500.gkg.csv.zip","956","1","RAW_FIELD_COUNT_NOT_27"
"20250417210000.gkg.csv.zip","1052","1","RAW_FIELD_COUNT_NOT_27"
"20250417210000.gkg.csv.zip","1053","1","RAW_FIELD_COUNT_NOT_27"
"20250430184500.gkg.csv.zip","1991","1","RAW_FIELD_COUNT_NOT_27"
