"archive_file","archive_sha256","entry_count","rows_scanned","malformed_field_count_rows","strict_utf8_invalid_rows","strict_utf8_invalid_fields","allnames_utf8_invalid_rows","critical_field_utf8_invalid_rows","noncritical_only_utf8_invalid_rows","field_count_distribution","status"
"20250521154500.gkg.csv.zip","e81cbda2abf5d21ce21a8eb88723f71aea52d85d4423403bdc87d2b5466ee81b","1","2141","0","1","1","0","0","1","27:2141","PASS_NONCRITICAL_UTF8_ONLY"
"20250521200000.gkg.csv.zip","b5b0e56adcd90359e81eda20cf7609b978a0ed3a5198e087851151d4444d052b","1","1878","0","1","1","0","0","1","27:1878","PASS_NONCRITICAL_UTF8_ONLY"
"20250523140000.gkg.csv.zip","6d4013cb77e12ff66f6612c7b2998da648e836352118e8551a5cc29f09e5bb1f","1","1551","0","1","1","0","0","1","27:1551","PASS_NONCRITICAL_UTF8_ONLY"
"20250523154500.gkg.csv.zip","d2ea06fdce346e9761840098e0d52f01e29b498be38bf180b8242ab21d455bc7","1","2162","0","1","1","0","0","1","27:2162","PASS_NONCRITICAL_UTF8_ONLY"
"20250523220000.gkg.csv.zip","58bb5127d733a4bde5444753a857fc8d94c5c2cd9a97dcadb6be39151f2e5397","1","1309","0","1","1","0","0","1","27:1309","PASS_NONCRITICAL_UTF8_ONLY"
"20250524103000.gkg.csv.zip","ca0fa70a49bfd2bbe12b32ee18c5f8e034eb48b028e45a6f6890d351c4149a18","1","786","0","1","1","0","0","1","27:786","PASS_NONCRITICAL_UTF8_ONLY"
"20250526123000.gkg.csv.zip","ad8507e0983a597b7854b950304e72ea844fdd6df95c2e1ffcd21100f3488d53","1","891","0","1","1","0","0","1","27:891","PASS_NONCRITICAL_UTF8_ONLY"
"20250526150000.gkg.csv.zip","0a078631d52be4cb0ba1a41a1dfa3f4097222c06ab82980c988b8f7374d72006","1","1336","0","1","1","0","0","1","27:1336","PASS_NONCRITICAL_UTF8_ONLY"
"20250527093000.gkg.csv.zip","e11d7e39527ff0c6116f7fbf2ff9dc6fa13306b6f10d9c3e2a3d2283f0dc76ee","1","1024","0","1","1","0","0","1","27:1024","PASS_NONCRITICAL_UTF8_ONLY"
"20250527141500.gkg.csv.zip","b06a93a1d41b0e80e12445fd74b23e24fcea93ba4dc63c361aacb183cf1ee459","1","1728","0","1","1","0","0","1","27:1728","PASS_NONCRITICAL_UTF8_ONLY"
"20250527184500.gkg.csv.zip","2c0233492efa7792acb1f6abd0353bf9f68aa949463c08effbc818358e9ce59d","1","1917","0","2","2","0","0","2","27:1917","PASS_NONCRITICAL_UTF8_ONLY"
"20250528140000.gkg.csv.zip","06e5747eb70cc5b1ab054eddb87a6ce1a6b4abf4f15bb779057a913cda61da77","1","1506","0","1","1","0","0","1","27:1506","PASS_NONCRITICAL_UTF8_ONLY"
